zip_Code,city_name,state_abbv,state_name,population,density,count_name,timezone,latitude,longitude,zip
58784,Stanley,ND,North Dakota,3528,4.2,Mountrail,America/Chicago,-102.42438,48.36434,58784
59029,Fromberg,MT,Montana,847,3.2,Carbon,America/Denver,-108.80085,45.40732,59029
59047,Livingston,MT,Montana,12728,5.5,Park,America/Denver,-110.569,45.54805,59047
59072,Roundup,MT,Montana,4328,1.7,Musselshell,America/Denver,-108.53766,46.4691,59072
59106,Billings,MT,Montana,18281,72.7,Yellowstone,America/Denver,-108.6834,45.80792,59106
59253,Peerless,MT,Montana,78,0.1,Daniels,America/Denver,-105.8763,48.71822,59253
59404,Great Falls,MT,Montana,27576,29.4,Cascade,America/Denver,-111.3471,47.63059,59404
59414,Black Eagle,MT,Montana,923,214.4,Cascade,America/Denver,-111.26797,47.52734,59414
59450,Highwood,MT,Montana,555,0.6,Chouteau,America/Denver,-110.73125,47.59739,59450
59482,Sunburst,MT,Montana,689,0.8,Toole,America/Denver,-111.90786,48.87288,59482
59642,Ringling,MT,Montana,44,0.1,Meagher,America/Denver,-110.72436,46.28236,59642
59754,Twin Bridges,MT,Montana,1084,1.4,Madison,America/Denver,-112.33843,45.46327,59754
60022,Glencoe,IL,Illinois,8471,830.4,Cook,America/Chicago,-87.7676,42.13608,60022
60061,Vernon Hills,IL,Illinois,26967,1307.2,Lake,America/Chicago,-87.96074,42.23376,60061
60070,Prospect Heights,IL,Illinois,15908,1701,Cook,America/Chicago,-87.93022,42.10343,60070
60110,Carpentersville,IL,Illinois,38984,1691.5,Kane,America/Chicago,-88.28589,42.12295,60110
60113,Creston,IL,Illinois,307,762.1,Ogle,America/Chicago,-88.96583,41.93221,60113
60124,Elgin,IL,Illinois,22074,223,Kane,America/Chicago,-88.39709,42.02582,60124
60178,Sycamore,IL,Illinois,22374,124.6,DeKalb,America/Chicago,-88.66894,42.00638,60178
60408,Braidwood,IL,Illinois,5528,285.6,Will,America/Chicago,-88.21674,41.26374,60408
60422,Flossmoor,IL,Illinois,9941,911.7,Cook,America/Chicago,-87.68411,41.53698,60422
60431,Joliet,IL,Illinois,24202,687.7,Will,America/Chicago,-88.20521,41.53266,60431
60470,Ransom,IL,Illinois,542,5.6,LaSalle,America/Chicago,-88.64107,41.16897,60470
60480,Willow Springs,IL,Illinois,5151,340.9,Cook,America/Chicago,-87.88088,41.72896,60480
60560,Yorkville,IL,Illinois,25140,124.9,Kendall,America/Chicago,-88.42971,41.60802,60560
60714,Niles,IL,Illinois,29520,1791.6,Cook,America/Chicago,-87.81098,42.02805,60714
60926,Claytonville,IL,Illinois,42,5.9,Iroquois,America/Chicago,-87.80962,40.57234,60926
60933,Elliott,IL,Illinois,272,51.9,Ford,America/Chicago,-88.27192,40.4647,60933
60957,Paxton,IL,Illinois,5311,20.6,Ford,America/Chicago,-88.13624,40.44296,60957
61027,Eleroy,IL,Illinois,73,109.5,Stephenson,America/Chicago,-89.75728,42.33091,61027
61472,Rio,IL,Illinois,608,5.9,Knox,America/Chicago,-90.38289,41.10216,61472
61480,Stronghurst,IL,Illinois,1171,7.1,Henderson,America/Chicago,-90.9218,40.72541,61480
61524,Dunfermline,IL,Illinois,300,486.4,Fulton,America/Chicago,-90.03456,40.49143,61524
61528,Edwards,IL,Illinois,2987,63.2,Peoria,America/Chicago,-89.72293,40.77896,61528
61563,Saint David,IL,Illinois,509,563.7,Fulton,America/Chicago,-90.0541,40.49203,61563
61749,Kenney,IL,Illinois,535,6.4,De Witt,America/Chicago,-89.11027,40.09494,61749
62014,Bunker Hill,IL,Illinois,4063,26.4,Macoupin,America/Chicago,-89.95097,39.04304,62014
62083,Rosamond,IL,Illinois,167,3.3,Christian,America/Chicago,-89.20144,39.35447,62083
62233,Chester,IL,Illinois,9521,56.3,Randolph,America/Chicago,-89.7874,37.9461,62233
62237,Coulterville,IL,Illinois,2398,9.6,Randolph,America/Chicago,-89.56909,38.18905,62237
62305,Quincy,IL,Illinois,19081,53.2,Adams,America/Chicago,-91.3459,39.92982,62305
62374,Tennessee,IL,Illinois,337,5.7,McDonough,America/Chicago,-90.91204,40.4089,62374
62378,Versailles,IL,Illinois,1047,6,Brown,America/Chicago,-90.63512,39.89729,62378
62424,Dieterich,IL,Illinois,2421,10.8,Effingham,America/Chicago,-88.42215,38.98978,62424
62540,Kincaid,IL,Illinois,1549,290.1,Christian,America/Chicago,-89.41824,39.58388,62540
62622,Bluff Springs,IL,Illinois,42,8.7,Cass,America/Chicago,-90.35343,39.97814,62622
62644,Havana,IL,Illinois,4921,18.4,Mason,America/Chicago,-90.05434,40.28959,62644
62673,Oakford,IL,Illinois,416,5.1,Menard,America/Chicago,-89.97845,40.09471,62673
62931,Elizabethtown,IL,Illinois,1484,5.6,Hardin,America/Chicago,-88.28679,37.52851,62931
62956,Karnak,IL,Illinois,940,14,Pulaski,America/Chicago,-88.94232,37.27993,62956
62957,McClure,IL,Illinois,867,7.9,Alexander,America/Chicago,-89.42661,37.30789,62957
62966,Murphysboro,IL,Illinois,15049,51.3,Jackson,America/Chicago,-89.35107,37.77508,62966
62984,Shawneetown,IL,Illinois,1673,8.2,Gallatin,America/Chicago,-88.15479,37.71038,62984
63047,Hematite,MO,Missouri,73,128.6,Jefferson,America/Chicago,-90.48722,38.19566,63047
63050,Hillsboro,MO,Missouri,15816,67.9,Jefferson,America/Chicago,-90.57782,38.25975,63050
63136,Saint Louis,MO,Missouri,44382,1619.2,St. Louis,America/Chicago,-90.25979,38.74332,63136
63349,Hawk Point,MO,Missouri,2276,24.4,Lincoln,America/Chicago,-91.15308,38.97755,63349
63548,Lancaster,MO,Missouri,1215,6.1,Schuyler,America/Chicago,-92.48521,40.53009,63548
63630,Cadet,MO,Missouri,4192,24.3,Washington,America/Chicago,-90.72722,38.01825,63630
